Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.38676309219466E-12,1.11022302462516E-15,0.0554221766133212,0,0,0,10.5731770665863,0.147809738789761,-2.35170262715723E-14,-6.4842657609487E-19,0.147809738790367,-9.37835753107075E-19,0.134470212276669,0,0,0,0,0,0,package://LiteArm_A10_251224/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://LiteArm_A10_251224/meshes/base_link.STL,,base_link-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
torso_link,0.000137366833964286,-7.54649814860286E-12,0.000180584526209504,0,0,0,2.04147618153093,0.00127837591997561,-1.02275591384068E-06,-3.58177087828143E-06,0.00227832387021615,-4.56700471643495E-16,0.00114979571014264,0,0,0,0,0,0,package://LiteArm_A10_251224/meshes/torso_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://LiteArm_A10_251224/meshes/torso_link.STL,,torso_link-1,torso_link,A_torso_link,torso_joint,fixed,0,0,0.7,0,0,0,base_link,0,0,0,,,,,,,,,,,,
l_joint1_link,-0.00600776228845104,0.0528510870938652,-0.000155395780735479,0,0,0,1.12929577905736,0.00126505919019749,-1.58541332678955E-05,2.17307137188383E-06,0.000785085021266307,-4.21962402317182E-07,0.000753997975798285,0,0,0,0,0,0,package://LiteArm_A10_251224/meshes/l_joint1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://LiteArm_A10_251224/meshes/l_joint1_link.STL,,l_joint1_link-2,l_joint1_link,A_l_joint1_link,l_joint1_joint,revolute,0,0.096,0,0,0,0,torso_link,0,1,0,75,6.0737,-3.0543,1.6581,,,,,,,,
l_joint2_link,-0.0231701227427957,-8.46545056276682E-16,-0.0396896494319806,0,0,0,0.0995623900834828,4.34012929846271E-05,-2.00917536999403E-17,-1.00798485233094E-06,4.08805101998456E-05,-2.31495235268564E-21,3.10026805452022E-05,0,0,0,0,0,0,package://LiteArm_A10_251224/meshes/l_joint2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://LiteArm_A10_251224/meshes/l_joint2_link.STL,,l_joint2_link-2,l_joint2_link,A_l_joint2_link,l_joint2_joint,revolute,0,0.059,0,0,0,0,l_joint1_link,1,0,0,75,6.0737,-0.27925,2.8623,,,,,,,,
l_joint3_link,-0.00426694854361134,-0.00055991928858147,-0.082623152075859,0,0,0,0.487148902019799,0.00110733722139062,-1.70195479069332E-06,5.69768931838252E-05,0.00115962289663154,1.73165122589758E-05,0.000459448573226005,0,0,0,0,0,0,package://LiteArm_A10_251224/meshes/l_joint3_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://LiteArm_A10_251224/meshes/l_joint3_link.STL,,l_joint3_link-2,l_joint3_link,A_l_joint3_link,l_joint3_joint,revolute,0.00075,0,-0.0646,0,0,0,l_joint2_link,0,0,-1,50,6.0737,-1.5708,1.5708,,,,,,,,
l_joint4_link,-0.00384653253801068,-0.00165580679675273,-0.0391950512776443,0,0,0,0.217002581440333,0.000288523264783636,1.11316756768118E-06,9.00213535283102E-06,0.000227149653738687,9.26191413236523E-06,0.000177409135191186,0,0,0,0,0,0,package://LiteArm_A10_251224/meshes/l_joint4_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://LiteArm_A10_251224/meshes/l_joint4_link.STL,,l_joint4_link-2,l_joint4_link,A_l_joint4_link,l_joint4_joint,revolute,0,-5E-05,-0.1615,0,0,0,l_joint3_link,0,1,0,50,6.0737,-1.5708,2.4435,,,,,,,,
l_joint5_link,-0.000590226169168262,-0.000243180766201917,-0.0537504645426481,0,0,0,0.22804571473923,0.000254103122476525,-6.43139540136826E-08,-1.2887123999657E-05,0.000238610671577378,6.57809287833406E-09,0.000126119460274669,0,0,0,0,0,0,package://LiteArm_A10_251224/meshes/l_joint5_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://LiteArm_A10_251224/meshes/l_joint5_link.STL,,l_joint5_link-2,l_joint5_link,A_l_joint5_link,l_joint5_joint,revolute,0,0,-0.094,0,0,0,l_joint4_link,0,0,1,10,10.263,-1.5708,1.5708,,,,,,,,
l_joint6_link,-0.000931416106720484,-0.00118645391491029,-5.07513710549662E-05,0,0,0,0.102125380115883,2.07127554252157E-05,2.04421085317205E-09,-6.66791628904814E-08,2.60920287102756E-05,-5.85145207777238E-10,2.10247747782151E-05,0,0,0,0,0,0,package://LiteArm_A10_251224/meshes/l_joint6_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://LiteArm_A10_251224/meshes/l_joint6_link.STL,,l_joint6_link-2,l_joint6_link,A_l_joint6_link,l_joint6_joint,revolute,0,0,-0.1255,0,0,0,l_joint5_link,1,0,0,20,6.2832,-0.76794,0.76794,,,,,,,,
l_joint7_link,-3.4369155097469E-06,0.000128585973800888,-0.0961276185074292,0,0,0,0.450169096231643,0.000250897366302453,8.23960730703715E-07,7.05493943474201E-08,0.000180190279674911,1.38328760358937E-06,0.000181259333263935,0,0,0,0,0,0,package://LiteArm_A10_251224/meshes/l_joint7_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://LiteArm_A10_251224/meshes/l_joint7_link.STL,,l_joint7_link-2,l_joint7_link,A_l_joint7_link,l_joint7_joint,revolute,0,0,0,0,0,0,l_joint6_link,0,1,0,10,10.263,-1.5708,1.5708,,,,,,,,
r_joint1_link,-0.00600776078724283,-0.0528873461903215,0.000233521640834011,0,0,0,1.12929575007924,0.00126505919276901,1.68769037400381E-05,-3.23046023757785E-06,0.000785085011934282,-4.21983093051653E-07,0.0007539979695479,0,0,0,0,0,0,package://LiteArm_A10_251224/meshes/r_joint1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://LiteArm_A10_251224/meshes/r_joint1_link.STL,,r_joint1_link-2,r_joint1_link,A_r_joint1_link,r_joint1_joint,revolute,0,-0.096,0,0,0,0,torso_link,0,1,0,75,6.0737,-3.0543,1.6581,,,,,,,,
